животное,animal
зверь,beast
фауна,fauna
млекопитающие,mammals
порода,breed
разведение,breeding
заповедник,nature reserve
зоопарк,zoo
волк,wolf
лиса,fox
заяц,hare
кролик,rabbit
белка,squirrel
медведь,bear
рысь,lynx
енот,raccoon
еж,hedgehog
олень,deer
лось,elk
собака,dog
щенок,puppy
кошка,cat
котенок,kitten
лошадь,horse
жеребенок,foal
корова,cow
бык,bull
теленок,calf
козел,goat
козленок,kid
овца,sheep
баран,ram
ягненок,lamb
свинья,pig
поросенок,piglet
верблюд,camel
мышь,mouse
крыса,rat
хомяк,hamster
хорек,ferret
лев,lion
тигр,tiger
леопард,leopard
слон,elephant
обезьяна,monkey
жираф,giraffe
носорог,rhinoceros
зебра,zebra
антилопа,antelope
тюлень,seal
морж,walrus
